OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
76,51267,NB MACDONALD ST AT OLIVER CRES,Vancouver/UBC,Vancouver,28,15,8,8,0,0,-123.167732,49.249455,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13710970.88606231,6317296.079542901
77,51268,NB MACDONALD ST AT W 24 AVE,Vancouver/UBC,Vancouver,64,38,22,12,0,6,-123.167706,49.251268,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13710968.024068585,6317605.247830771
78,51269,NB MACDONALD ST AT W 22 AVE,Vancouver/UBC,Vancouver,53,37,17,11,8,12,-123.167687,49.253089,002; N22,Fall 2018,,002,-13710965.969582338,6317915.813949674
79,51270,NB MACDONALD ST AT W 20 AVE,Vancouver/UBC,Vancouver,29,25,14,13,0,8,-123.167662,49.254882,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13710963.177961722,6318221.7061825255
80,51271,NB MACDONALD ST AT W 18 AVE,Vancouver/UBC,Vancouver,17,12,8,11,0,0,-123.168016,49.256681,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711002.52106053,6318528.436185056
81,51368,SB MACDONALD ST AT W 4 AVE,Vancouver/UBC,Vancouver,68,57,47,70,66,70,-123.168411,49.268064,002; N22,Fall 2018,,002,-13711046.524503075,6320470.156044022
82,51842,BURRARD STN BAY 4,Vancouver/UBC,Vancouver,537,229,166,530,262,208,-123.12119,49.286899,002; 022,Fall 2018,,002,-13705789.840385923,6323683.996159188
83,51843,BURRARD STN BAY 3,Vancouver/UBC,Vancouver,17,12,11,56,37,28,-123.121757,49.286391,002; 022,Fall 2018,,002,-13705853.010610538,6323597.361192283
84,56558,BURRARD STN BAY 6,Vancouver/UBC,Vancouver,0,0,0,5,0,0,-123.118874,49.28577,002; 005,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13705532.066744242,6323491.439969306
85,60197,SB BURRARD ST AT HARWOOD ST,Vancouver/UBC,Vancouver,232,187,109,399,249,150,-123.131265,49.277837,002; 032; N22,Fall 2018,,002,-13706911.413943991,6322137.694479141
86,61759,NB BURRARD ST AT COMOX ST,Vancouver/UBC,Vancouver,471,228,183,464,340,219,-123.126431,49.280758,002; 032; 044; N22,Fall 2018,,002,-13706373.368300052,6322636.083816006
87,61809,EB CORNWALL AVE AT TRAFALGAR ST,Vancouver/UBC,Vancouver,57,37,31,34,17,24,-123.163937,49.272658,002; 032; N22,Fall 2018,,002,-13710548.498305071,6321254.023946873
88,50035,EB W CORDOVA ST AT SEYMOUR ST,Vancouver/UBC,Vancouver,492,419,273,229,237,177,-123.111191,49.284786,003; 004; 007; 008; 010; 050; N8,Fall 2018,,003,-13704676.821834037,6323323.416867962
89,50036,EB W CORDOVA ST AT HOMER ST,Vancouver/UBC,Vancouver,118,100,33,13,26,7,-123.109649,49.283765,003; 004; 007; 008; 050; 209; 210; 211; 214; N8,Fall 2018,,003,-13704505.10986727,6323149.204577355
90,50141,WB SE MARINE DR AT MAIN ST,Vancouver/UBC,Vancouver,47,77,76,51,103,89,-123.101393,49.211021,003,Fall 2018,,003,-13703586.1234708,6310744.368359353
91,50142,NB MAIN ST AT SE MARINE DR,Vancouver/UBC,Vancouver,491,355,326,143,128,89,-123.102035,49.211565,003,Fall 2018,,003,-13703657.61779286,6310837.109081702
92,50146,NB MAIN ST AT E 59 AVE,Vancouver/UBC,Vancouver,291,224,179,214,172,152,-123.101819,49.217015,003,Fall 2018,,003,-13703633.47491329,6311765.735644242
93,50147,NB MAIN ST AT E 57 AVE,Vancouver/UBC,Vancouver,342,287,164,167,156,111,-123.10174,49.218788,003,Fall 2018,,003,-13703624.762072591,6312067.999320031
94,50150,NB MAIN ST AT E 51 AVE,Vancouver/UBC,Vancouver,178,145,90,142,90,85,-123.101593,49.223638,003,Fall 2018,,003,-13703608.338113245,6312894.5627457565
95,50151,NB MAIN ST AT E 49 AVE,Vancouver/UBC,Vancouver,630,441,330,354,222,238,-123.10147,49.225975,003,Fall 2018,,003,-13703594.643813053,6313292.944784195
96,50154,NB MAIN ST AT E 43 AVE,Vancouver/UBC,Vancouver,84,71,51,44,40,30,-123.101306,49.231454,003,Fall 2018,,003,-13703576.467909683,6314226.821461733
97,50155,NB MAIN ST AT E 41 AVE,Vancouver/UBC,Vancouver,496,469,287,344,235,180,-123.101394,49.233445,003,Fall 2018,,003,-13703586.253441896,6314566.290794376
98,50162,NB MAIN ST AT E 39 AVE,Vancouver/UBC,Vancouver,93,74,49,24,32,22,-123.101505,49.235734,003,Fall 2018,,003,-13703598.519297298,6314956.602144775
99,50163,NB MAIN ST AT E 36 AVE,Vancouver/UBC,Vancouver,190,189,133,99,87,68,-123.101502,49.23802,003,Fall 2018,,003,-13703598.231896386,6315346.362464499
100,50165,NB MAIN ST AT E 33 AVE,Vancouver/UBC,Vancouver,231,236,170,152,133,83,-123.101314,49.241308,003,Fall 2018,,003,-13703577.340047337,6315906.84989953
101,50166,NB MAIN ST AT E 30 AVE,Vancouver/UBC,Vancouver,178,191,104,161,133,94,-123.101232,49.243554,003,Fall 2018,,003,-13703568.207109885,6316289.854017908
102,50167,NB MAIN ST AT E 28 AVE,Vancouver/UBC,Vancouver,298,308,199,206,202,142,-123.101101,49.245968,003,Fall 2018,,003,-13703553.602215469,6316701.451433556
103,50169,NB MAIN ST AT E KING EDWARD AVE,Vancouver/UBC,Vancouver,530,534,368,331,233,155,-123.100891,49.249121,003,Fall 2018,,003,-13703530.18970463,6317239.204238115
104,50174,NB MAIN ST AT E 12 AVE,Vancouver/UBC,Vancouver,260,295,157,188,133,101,-123.100888,49.260528,003,Fall 2018,,003,-13703529.885119252,6319184.624284385
105,50176,NB MAIN ST AT E BROADWAY,Vancouver/UBC,Vancouver,915,894,536,985,937,642,-123.100792,49.263233,003,Fall 2018,,003,-13703519.248753313,6319646.053453272
106,50177,NB MAIN ST AT E 6 AVE,Vancouver/UBC,Vancouver,233,212,86,82,112,48,-123.100685,49.265339,003; 008; 019; N19; N8,Fall 2018,,003,-13703507.260614501,6320005.302685926
107,50178,NB MAIN ST AT E 5 AVE,Vancouver/UBC,Vancouver,173,99,54,105,49,41,-123.100662,49.266719,003; 008; 019; N19; N8,Fall 2018,,003,-13703504.678211188,6320240.718463596
108,50179,NB MAIN ST AT E 2 AVE,Vancouver/UBC,Vancouver,150,102,54,226,185,104,-123.100505,49.269455,003; 008; 019; N19; N8,Fall 2018,,003,-13703487.261137754,6320707.454757368
109,50180,NB MAIN ST AT INDUSTRIAL AVE,Vancouver/UBC,Vancouver,69,51,35,73,61,46,-123.100432,49.270803,003; 008; 019; N19; N8,Fall 2018,,003,-13703479.09297347,6320937.469357449
110,50181,NB MAIN ST AT TERMINAL AVE,Vancouver/UBC,Vancouver,1123,1188,658,1872,1590,1046,-123.099831,49.273395,003; 008; 019; 022; N19; N8,Fall 2018,,003,-13703412.202726535,6321379.678532687
111,50182,NB MAIN ST AT NATIONAL AVE,Vancouver/UBC,Vancouver,100,81,39,104,154,71,-123.099748,49.275321,003; 008; 019; 022; N19; N8,Fall 2018,,003,-13703403.024605127,6321708.361120834
112,50184,NB MAIN ST AT E GEORGIA ST,Vancouver/UBC,Vancouver,141,158,74,1216,1244,698,-123.099607,49.278968,003; 008; 019; 022; N19; N8,Fall 2018,,003,-13703387.264930414,6322330.700538789
113,50185,WB E HASTINGS ST AT MAIN ST,Vancouver/UBC,Vancouver,229,237,139,1272,1210,778,-123.1003,49.28144,003; 008; N20; N35; N8,Fall 2018,,003,-13703464.460190803,6322752.436962091
114,50186,WB W HASTINGS ST AT CARRALL ST,Vancouver/UBC,Vancouver,113,111,84,272,329,211,-123.105366,49.281733,003; 008; 014; 016; 020; N20; N35; N8,Fall 2018,,003,-13704028.389586564,6322802.478951362
115,50187,WB W HASTINGS ST AT ABBOTT ST,Vancouver/UBC,Vancouver,69,75,33,283,244,150,-123.108043,49.282221,003; 008; 014; 016; 020; N20; N35; N8,Fall 2018,,003,-13704326.426779542,6322885.726920782
