,stop_id,name,region,manicipality,avg_daily_boarding_mf,avg_daily_boarding_sat,avg_daily_boarding_sun,longitude,latitude
19970,61081.0,FLAGSTOP WB GRAFTON RD AT ARTISAN SQU,North Shore,Bowen Island,0,0,0,-123.34891599999999,49.380590999999995
19971,61151.0,FLAGSTOP SB WINDJAMMER RD,North Shore,Bowen Island,0,0,0,-123.42306299999998,49.369621
19972,61152.0,FLAGSTOP NB WINDJAMMER RD,North Shore,Bowen Island,0,0,0,-123.422849,49.369605
19973,61153.0,FLAGSTOP WB ADAMS RD,North Shore,Bowen Island,0,0,0,-123.395036,49.359252000000005
19974,61155.0,FLAGSTOP WB GRAFTON RD,North Shore,Bowen Island,0,0,0,-123.36256200000001,49.37214
19975,61156.0,FLAGSTOP EB GRAFTON RD,North Shore,Bowen Island,0,0,0,-123.36208,49.372008
19976,58013.0,BOWEN ISLAND TRUNK RD AT SNUG COVE,North Shore,Bowen Island,16,10,7,-123.33358500000001,49.37985
19977,58017.0,FLAGSTOP WB SCARBOROUGH RD,North Shore,Bowen Island,7,0,0,-123.32821299999999,49.393034
19978,58018.0,NB EAGLECLIFF RD AT BAKER RD,North Shore,Bowen Island,10,0,0,-123.31291200000001,49.40493
19979,58020.0,FLAGSTOP EB SCARBOROUGH RD,North Shore,Bowen Island,0,0,0,-123.328199,49.39293
19980,60239.0,FLAGSTOP WB MILLER RD AT SCARBOROUGH ,North Shore,Bowen Island,0,0,0,-123.32994199999999,49.389393
19981,60240.0,FLAGSTOP LENORA RD AT MELMORE RD,North Shore,Bowen Island,0,0,0,-123.33668600000001,49.383944
19982,61084.0,FLAGSTOP NB MILLER RD AT DEEP BAY,North Shore,Bowen Island,0,0,0,-123.33746299999999,49.386314
19983,61085.0,FLAGSTOP SB MILLER RD AT DEEP BAY,North Shore,Bowen Island,0,0,0,-123.33785900000001,49.386453
19984,61159.0,FLAGSTOP MILLERS LANDING,North Shore,Bowen Island,0,0,0,-123.32443500000001,49.388426
19985,61161.0,FLAGSTOP SB EAGLE CLIFF RD,North Shore,Bowen Island,0,0,0,-123.320649,49.399938
19986,61162.0,FLAGSTOP NB EAGLE CLIFF RD,North Shore,Bowen Island,0,0,0,-123.320499,49.399891
19987,58013.0,BOWEN ISLAND TRUNK RD AT SNUG COVE,North Shore,Bowen Island,0,6,8,-123.33358500000001,49.37985
